TXNAME,TXNAME*GENEID
NM_001184582.1,NM_001184582.1*YAL067W-A
NM_001180042.1,NM_001180042.1*YAL064W-B
NM_001178206.2,NM_001178206.2*YAL064W
NM_001178204.1,NM_001178204.1*GDH3
NM_001178203.1,NM_001178203.1*BDH2
NM_001178202.2,NM_001178202.2*BDH1
NM_001178201.2,NM_001178201.2*ECM1
NM_001178200.1,NM_001178200.1*CNE1
NM_001178199.2,NM_001178199.2*GPB2
NM_001178198.1,NM_001178198.1*PEX22
NM_001178196.2,NM_001178196.2*FLC2
NM_001178195.2,NM_001178195.2*OAF1
NM_001184453.1,NM_001184453.1*BOL1
NM_001178187.1,NM_001178187.1*ERV46
NM_001178186.1,NM_001178186.1*CDC24
NM_001178183.1,NM_001178183.1*CDC19
NM_001178182.1,NM_001178182.1*YAL037W
NM_001178180.1,NM_001178180.1*FUN12
NM_001178179.1,NM_001178179.1*MTW1
NM_001178178.1,NM_001178178.1*POP5
NM_001178175.1,NM_001178175.1*SNC1
NM_001178173.1,NM_001178173.1*FRT2
NM_001178172.1,NM_001178172.1*SAW1
NR_132149.1,NR_132149.1*HRA1
NM_001178164.1,NM_001178164.1*FUN30
NM_001178162.2,NM_001178162.2*PSK1
NM_001178161.1,NM_001178161.1*TPD3
NM_001178158.2,NM_001178158.2*DEP1
NM_001178157.1,NM_001178157.1*CYS3
NM_001178156.1,NM_001178156.1*SWC3
NM_001178154.1,NM_001178154.1*SPO7
NM_001178153.1,NM_001178153.1*FUN14
rna-tP(UGG)A,rna-tP(UGG)A*TRN1
NM_001178150.1,NM_001178150.1*EFB1
NR_132150.1,NR_132150.1*snR18
NM_001178149.1,NM_001178149.1*VPS8
NM_001178209.1,NM_001178209.1*NUP60
NM_001178210.1,NM_001178210.1*SWD1
NM_001178212.1,NM_001178212.1*SEN34
rna-tA(UGC)A,rna-tA(UGC)A*TGA1
NM_001178216.1,NM_001178216.1*ADE1
rna-tL(CAA)A,rna-tL(CAA)A*SUP56
NM_001178221.1,NM_001178221.1*UIP3
NM_001178222.1,NM_001178222.1*YAR028W
NM_001178223.1,NM_001178223.1*YAR029W
NM_001178224.1,NM_001178224.1*PRM9
NM_001178225.1,NM_001178225.1*MST28
NM_001178226.1,NM_001178226.1*YAT1
NM_001178227.1,NM_001178227.1*SWH1
NM_001178230.1,NM_001178230.1*FLO1
NA,NA*NA
NM_001178235.1,NM_001178235.1*YAR064W
NM_001180045.1,NM_001180045.1*YAR066W
NM_001178236.1,NM_001178236.1*YAR068W
NM_001178239.1,NM_001178239.1*PHO11
NM_001180043.1,NM_001180043.1*PAU8
NM_001178208.1,NM_001178208.1*SEO1
NM_001179897.1,NM_001179897.1*YAL065C
NM_001180041.1,NM_001180041.1*TDA8
NM_001184642.1,NM_001184642.1*YAL063C-A
NM_001178205.1,NM_001178205.1*FLO9
NM_001178197.1,NM_001178197.1*ACS1
NM_001178194.1,NM_001178194.1*AIM2
NM_001178193.1,NM_001178193.1*GEM1
NM_001178192.2,NM_001178192.2*SPC72
NM_001178191.1,NM_001178191.1*BOL3
NM_001178189.1,NM_001178189.1*GCV3
NM_001178188.1,NM_001178188.1*PTA1
NM_001178185.1,NM_001178185.1*CLN3
NM_001178184.1,NM_001178184.1*CYC3
NM_001184629.1,NM_001184629.1*YAL037C-A
NM_001178181.1,NM_001178181.1*RBG1
NM_001180035.1,NM_001180035.1*FUN19
NM_001178177.1,NM_001178177.1*PRP45
NM_001178176.1,NM_001178176.1*GIP4
NM_001178174.1,NM_001178174.1*MYO4
NM_001178171.2,NM_001178171.2*DRS2
NM_001178170.2,NM_001178170.2*MAK16
NM_001178169.1,NM_001178169.1*LTE1
NM_001178168.1,NM_001178168.1*PMT2
NM_001178167.1,NM_001178167.1*FUN26
NM_001178166.1,NM_001178166.1*CCR4
NM_001178165.2,NM_001178165.2*ATS1
NM_001178163.1,NM_001178163.1*LDS1
NM_001178160.1,NM_001178160.1*NTG1
NM_001178159.1,NM_001178159.1*SYN8
NM_001178155.2,NM_001178155.2*MDM10
NM_001178152.1,NM_001178152.1*ERP2
NM_001178151.1,NM_001178151.1*SSA1
NM_001178148.1,NM_001178148.1*TFC3
NM_001180033.1,NM_001180033.1*ERP1
NM_001178211.1,NM_001178211.1*RFA1
NM_001178213.1,NM_001178213.1*YAR009C
NM_001178214.1,NM_001178214.1*YAR010C
NM_001178215.2,NM_001178215.2*BUD14
NM_001178217.1,NM_001178217.1*KIN3
NM_001178218.2,NM_001178218.2*CDC15
NM_001178219.1,NM_001178219.1*PAU7
NM_001178220.2,NM_001178220.2*YAR023C
rna-tS(AGA)A,rna-tS(AGA)A*tS(AGA)A
NM_001184583.1,NM_001184583.1*YAR035C-A
rna-tL(UAA)B1,rna-tL(UAA)B1*tL(UAA)B1
NM_001178342.1,NM_001178342.1*SFT2
NM_001184585.1,NM_001184585.1*YBL100W-C
NM_001180049.1,NM_001180049.1*YBL100W-A
NM_001180050.2,NM_001180050.2*YBL100W-B
rna-tF(GAA)B,rna-tF(GAA)B*tF(GAA)B
NM_001178339.2,NM_001178339.2*ATP1
NM_001178338.1,NM_001178338.1*BNA4
NM_001178337.2,NM_001178337.2*BRN1
NM_001178335.1,NM_001178335.1*MRX3
NM_001178332.1,NM_001178332.1*RPL32
NM_001178330.1,NM_001178330.1*MRP21
NM_001178329.1,NM_001178329.1*AVT5
NM_001178325.1,NM_001178325.1*BOI1
NM_001178321.1,NM_001178321.1*YBL081W
NM_001178319.1,NM_001178319.1*NUP170
NR_132151.1,NR_132151.1*snR56
NM_001184454.1,NM_001184454.1*KTI11
NM_001178309.1,NM_001178309.1*AST1
NM_001178308.2,NM_001178308.2*PRS4
NM_001178303.1,NM_001178303.1*KIP1
NM_001178300.1,NM_001178300.1*YEL1
NM_001178299.1,NM_001178299.1*YBL059W
NM_001178298.1,NM_001178298.1*SHP1
NM_001178296.2,NM_001178296.2*PTC3
NM_001178294.1,NM_001178294.1*TOD6
NM_001178290.1,NM_001178290.1*SEC17
NM_001178289.1,NM_001178289.1*MOH1
NM_001348869.1,NM_001348869.1*RRT1
NM_001178286.1,NM_001178286.1*PSY4
NM_001178284.1,NM_001178284.1*YBL044W
NM_001178283.1,NM_001178283.1*ECM13
NM_001178281.1,NM_001178281.1*PRE7
NM_001184527.1,NM_001184527.1*YBL039W-B
NM_001178278.1,NM_001178278.1*MRPL16
NM_001178277.1,NM_001178277.1*APL3
NM_001178272.1,NM_001178272.1*HEK2
NM_001178271.1,NM_001178271.1*SHE1
NM_001178269.1,NM_001178269.1*YBL029W
NM_001178267.1,NM_001178267.1*RPL19B
NM_001178266.1,NM_001178266.1*LSM2
NM_001178265.1,NM_001178265.1*RRN10
NM_001178264.1,NM_001178264.1*NCL1
NM_001178260.1,NM_001178260.1*RFT1
NM_001178259.1,NM_001178259.1*APN2
NM_001178256.1,NM_001178256.1*FUS3
NM_001178255.1,NM_001178255.1*ACH1
rna-tI(AAU)B,rna-tI(AAU)B*tI(AAU)B
NM_001178253.1,NM_001178253.1*FMT1
NM_001178251.1,NM_001178251.1*SCT1
NM_001178249.1,NM_001178249.1*ALK2
NM_001184539.1,NM_001184539.1*YBL008W-A
NM_001178248.2,NM_001178248.2*HIR1
NM_001178245.1,NM_001178245.1*PDR3
NM_001180047.1,NM_001180047.1*YBL005W-A
NM_001180048.2,NM_001180048.2*YBL005W-B
rna-tS(AGA)B,rna-tS(AGA)B*tS(AGA)B
NM_001178244.1,NM_001178244.1*UTP20
NM_001178242.1,NM_001178242.1*HTB2
NM_001178351.1,NM_001178351.1*COQ1
NM_001178353.1,NM_001178353.1*RCR1
NM_001178354.1,NM_001178354.1*UGA2
NM_001178358.1,NM_001178358.1*HHT1
